"category","year","tags","tag_count"
"Regional / Ethnic Styles",2017,"irish",1
"Regional / Ethnic Styles",2017,"latvian",9
"Regional / Ethnic Styles",2017,"norwegian",27
"Regional / Ethnic Styles",2017,"sami",1
"Regional / Ethnic Styles",2017,"swedish",6
"Regional / Ethnic Styles",2017,"turkish",5
"Regional / Ethnic Styles",2018,"Shetland",3
"Regional / Ethnic Styles",2018,"bavarian",15
"Regional / Ethnic Styles",2018,"estonian",11
"Regional / Ethnic Styles",2018,"fairisle",15
"Regional / Ethnic Styles",2018,"finnish",6
"Regional / Ethnic Styles",2018,"guernsey",6
"Regional / Ethnic Styles",2018,"icelandic",2
"Regional / Ethnic Styles",2018,"latvian",11
"Regional / Ethnic Styles",2018,"norwegian",49
"Regional / Ethnic Styles",2018,"sami",2
"Regional / Ethnic Styles",2018,"swedish",13
"Regional / Ethnic Styles",2018,"turkish",1
"Regional / Ethnic Styles",2019,"aran",2
"Regional / Ethnic Styles",2019,"bavarian",8
"Regional / Ethnic Styles",2019,"danish",1
"Regional / Ethnic Styles",2019,"estonian",4
"Regional / Ethnic Styles",2019,"fairisle",11
"Regional / Ethnic Styles",2019,"finnish",5
"Regional / Ethnic Styles",2019,"guernsey",9
"Regional / Ethnic Styles",2019,"icelandic",1
"Regional / Ethnic Styles",2019,"latvian",8
"Regional / Ethnic Styles",2019,"norwegian",21
"Regional / Ethnic Styles",2019,"swedish",4
"Regional / Ethnic Styles",2020,"aran",1
"Regional / Ethnic Styles",2020,"bavarian",13
"Regional / Ethnic Styles",2020,"estonian",1
"Regional / Ethnic Styles",2020,"fairisle",20
"Regional / Ethnic Styles",2020,"finnish",6
"Regional / Ethnic Styles",2020,"guernsey",1
"Regional / Ethnic Styles",2020,"icelandic",17
"Regional / Ethnic Styles",2020,"latvian",26
"Regional / Ethnic Styles",2020,"norwegian",33
"Regional / Ethnic Styles",2020,"swedish",3
"Regional / Ethnic Styles",2021,"aran",3
"Regional / Ethnic Styles",2021,"bavarian",6
"Regional / Ethnic Styles",2021,"estonian",4
"Regional / Ethnic Styles",2021,"fairisle",47
"Regional / Ethnic Styles",2021,"finnish",12
"Regional / Ethnic Styles",2021,"guernsey",5
"Regional / Ethnic Styles",2021,"icelandic",2
"Regional / Ethnic Styles",2021,"irish",2
"Regional / Ethnic Styles",2021,"latvian",15
"Regional / Ethnic Styles",2021,"norwegian",45
"Regional / Ethnic Styles",2021,"sami",1
"Regional / Ethnic Styles",2021,"swedish",7
"Regional / Ethnic Styles",2022,"Shetland",1
"Regional / Ethnic Styles",2022,"aran",2
"Regional / Ethnic Styles",2022,"bavarian",12
"Regional / Ethnic Styles",2022,"estonian",6
"Regional / Ethnic Styles",2022,"fairisle",46
"Regional / Ethnic Styles",2022,"faroese",1
"Regional / Ethnic Styles",2022,"finnish",6
"Regional / Ethnic Styles",2022,"guernsey",5
"Regional / Ethnic Styles",2022,"icelandic",2
"Regional / Ethnic Styles",2022,"latvian",11
"Regional / Ethnic Styles",2022,"norwegian",35
"Regional / Ethnic Styles",2022,"swedish",3
"Regional / Ethnic Styles",2022,"turkish",1
"Regional / Ethnic Styles",2023,"aran",1
"Regional / Ethnic Styles",2023,"bavarian",2
"Regional / Ethnic Styles",2023,"estonian",7
"Regional / Ethnic Styles",2023,"fairisle",28
"Regional / Ethnic Styles",2023,"finnish",6
"Regional / Ethnic Styles",2023,"icelandic",1
"Regional / Ethnic Styles",2023,"latvian",11
"Regional / Ethnic Styles",2023,"norwegian",20
"Regional / Ethnic Styles",2023,"swedish",2
"Regional / Ethnic Styles",2023,"turkish",2
"Sock Techniques",2013,"2-at-a-time",58
"Sock Techniques",2013,"noshaping",65
"Sock Techniques",2013,"seamed-sock",48
"Sock Techniques",2013,"shaped-arches",43
"Sock Techniques",2013,"start-in-middle",8
"Sock Techniques",2013,"toe-up",497
"Sock Techniques",2013,"top-cuff-down",1678
"Sock Techniques",2014,"2-at-a-time",73
"Sock Techniques",2014,"noshaping",82
"Sock Techniques",2014,"seamed-sock",12
"Sock Techniques",2014,"shaped-arches",33
"Sock Techniques",2014,"start-in-middle",10
"Sock Techniques",2014,"toe-up",636
"Sock Techniques",2014,"top-cuff-down",1522
"Sock Techniques",2015,"2-at-a-time",93
"Sock Techniques",2015,"noshaping",62
"Sock Techniques",2015,"seamed-sock",14
"Sock Techniques",2015,"shaped-arches",35
"Sock Techniques",2015,"start-in-middle",6
"Sock Techniques",2015,"toe-up",576
"Sock Techniques",2015,"top-cuff-down",1558
